"","predictions"
"1",8.39561677442796
"2",-0.0315860952573198
"3",3.93747782435102
"4",0.149363504403864
"5",7.68198324128806
"6",8.36821989707076
"7",0.0378696988619113
"8",4.39197545168983
"9",0.000940308419112
"10",6.22597712699826
"11",9.77884330340886
"12",-0.123121616857053
"13",8.59340895353377
"14",-0.0258589237414204
"15",7.49652951939681
"16",9.3037166534267
"17",-0.0435960906147273
"18",8.33245920370157
"19",-0.020028382744833
"20",5.76459568324723
"21",-0.00452107300001619
"22",2.86264196967597
"23",8.35968659425445
"24",8.82788741295289
"25",0.12554121817821
"26",-0.0211520326967126
"27",0.186580279096103
"28",0.0634945913260616
"29",9.60126598253946
"30",0.358978998987452
"31",-0.043073557730125
"32",0.0344545480684062
"33",8.78396418466488
"34",7.21681608760678
"35",-0.133915016146266
"36",0.0974464785549433
"37",9.62122164356831
"38",5.7854850122918
"39",-0.0290911691149508
"40",1.42904190888026
"41",0.116405607677767
"42",0.0105399251442382
"43",5.49925722895046
"44",-0.021147807374124
"45",0.0155336366729713
"46",0.0608338637299237
"47",8.2200846441653
"48",1.34827255349388
"49",9.53801216781535
"50",0.0787037810257015
"51",-0.0338031178222157
"52",-0.0318769413085318
"53",0.162464206507632
"54",7.6440422521412
"55",0.0314528186374899
"56",9.49720161240744
"57",1.05117473303804
"58",0.0810639567409975
"59",-0.0333105156262571
"60",0.0125702493867811
"61",0.0675099469968568
"62",9.42993585618795
"63",0.0538809582348528
"64",5.70041596606215
"65",0.0537178288974775
"66",0.0683240221422612
"67",9.64718680639319
"68",0.0750197528573533
"69",4.19674274672295
"70",9.37931861433106
"71",0.0500969220587499
"72",-0.109253468069111
"73",0.026748532991711
"74",0.00991404962597197
"75",-0.0862738429901648
"76",1.84748629030884
"77",0.17740965262829
"78",-0.108608674296305
"79",-0.0236441012471786
"80",0.0352315197446899
"81",-0.0503073848444425
"82",9.48651477859901
"83",-0.0122269110586033
"84",-0.0178765416691391
"85",0.0185394159801229
"86",0.466207095709982
"87",9.39268816732407
"88",0.117873651226232
"89",9.50296522713585
"90",0.023501160072043
"91",5.80602748170504
"92",0.00252858568385451
"93",-0.0176047963258092
"94",4.60518245051159
"95",8.45816420346094
"96",9.47189789312022
"97",0.011055664970969
"98",2.83672567913882
"99",0.0349134084936061
"100",4.17490285079059
"101",6.73399296267606
"102",-0.100351145433997
"103",0.0497382939394447
"104",9.47483928244933
"105",8.25035367858948
"106",1.85821098487663
"107",0.820146364616035
"108",0.00219423868773031
"109",2.63859466789847
"110",3.48779778301773
"111",3.05953348486483
"112",9.10099175589715
"113",-0.112569214301489
"114",-0.0734810581889541
"115",0.00928755115460895
"116",-0.0574037490580112
"117",6.82811639567389
"118",-0.0558181491053279
"119",9.53361813434213
"120",0.0108910822639557
"121",1.03096991369053
"122",0.657818135986693
"123",-0.0369951164321536
"124",9.5283264156727
"125",4.12412377589747
"126",9.30845439686902
"127",0.0886097118794276
"128",0.0691969351062012
"129",6.5201362651711
"130",0.0438797910371223
"131",-0.0814075869207815
"132",-0.0402184265556935
"133",7.67215847324596
"134",0.172720765310653
"135",0.0302389927014442
"136",5.78262602564865
"137",8.4293673346828
"138",-0.0716730457629946
"139",2.77765789262006
"140",0.0663716953131498
"141",7.1759603848227
"142",0.0485079546125064
"143",0.0124051486728797
"144",-0.0210096708571338
"145",0.130554782180719
"146",0.114563532558634
"147",0.0519496519920392
"148",9.3707612833864
"149",0.707511159722538
"150",1.65701102244652
"151",0.334378514238523
"152",0.0794190562012745
"153",0.377796223560533
"154",-0.0103268516914333
"155",0.0295342678174189
"156",0.0513665860139995
"157",-0.0924141916040706
"158",0.00771494585045357
"159",3.12842953417378
"160",9.62398512540851
"161",0.0635433166002454
"162",0.388841960706866
"163",-0.0571466680126672
"164",-0.00330245965339617
"165",8.42680636564181
"166",8.20726313759601
"167",0.0764785652562041
"168",-0.0240618758960538
"169",9.49760963876338
"170",9.73097568460629
"171",3.76285830588822
"172",-0.02864884948035
"173",0.0462869538673234
"174",3.84464906876515
"175",3.17448360140733
"176",0.0191092754348717
"177",5.45259259759483
"178",-0.0249685435183862
"179",-0.0357069981371249
"180",0.0650605147831766
"181",0.472276515991548
"182",0.0994238412015504
"183",5.40760548553344
"184",-0.014716350678948
"185",0.0842591448863615
"186",0.00340161142585644
"187",9.03008436004811
"188",9.77562617438415
"189",-0.0057772766453607
"190",9.76850755439878
"191",1.72820134781985
"192",3.6333890317815
"193",-0.0684032210827578
"194",6.95036042350666
"195",0.00505884364233798
"196",3.69408671761466
"197",-0.0148689695922652
"198",0.0712551941243083
"199",0.0243826655486909
"200",7.43856128186753
"201",0.125214303524147
"202",0.0819538487918757
"203",-0.0712167545700795
"204",-0.0967826418339514
"205",7.10728966150779
"206",0.24887617757473
"207",-0.0278851015668226
"208",-0.0401753014817014
"209",0.12165336539545
"210",9.71849451744059
"211",-0.042816190972424
"212",0.120450825674808
"213",-0.036444877619192
"214",9.46599779749203
"215",0.0603099552033466
"216",-0.12288192475066
"217",9.08253797031106
"218",-0.0153163281315027
"219",0.0666216521677445
"220",9.68278761431502
"221",-0.00811725191989413
"222",-0.0748678058913051
"223",4.45148923509511
"224",3.63029043441216
"225",0.0414440643857897
"226",0.0311528272226337
"227",9.71150459135099
"228",0.0782577686066017
"229",-0.0262752123743206
"230",0.00922915790521729
"231",-0.0110366585119607
"232",0.865064210205971
"233",0.222706362448319
"234",-0.0187908792204621
"235",0.452354730388496
"236",9.57980762461109
"237",0.443443920207492
"238",1.75183632906319
"239",9.43501177097694
"240",4.38101268778126
